num_epoch,Checkpoint,Method,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,12,KL,forget05,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07
2.0,25,KL,forget05,10,gemma-2b,0.6863333333333332,0.4692496640463127,0.5941100440811992,0.7307692307692307,0.5202461168230654,0.6518186549874416,0.497735104258028,0.6716619643998423,0.5145914296989847,0.399266247628949,0.4184119569392023,0.5099928978235334,0.5792526735139142,8.97100889752212e-05
3.0,37,KL,forget05,10,gemma-2b,0.0,0.286419094406059,0.4348599625464414,0.0085470085470085,0.2461379191563578,0.4247677629101585,0.008801097650577,3.242430810384633e-20,0.2308132471826235,0.0087028904690198,1.6359962521791184e-24,0.564580477175726,0.0,0.0524712082752564
4.0,50,KL,forget05,10,gemma-2b,0.0,0.2675731492800901,0.5123064123399367,0.0,0.2171352048189751,0.4815197940681762,0.0,5.835779783271728e-50,0.4253590541298964,0.0,3.830756418244465e-52,0.1729717119991955,0.0,7.159896017463865e-07
5.0,62,KL,forget05,10,gemma-2b,0.0,0.2646103350872685,0.5043672768513493,0.0,0.2039090185390541,0.4970604877519605,0.0082291935189584,5.485281370608901e-54,0.4278606425255782,0.0020611656861656,1.8622969435945687e-55,0.1660244227390127,0.0,9.993842600871629e-07
6.0,75,KL,forget05,10,gemma-2b,0.0,0.2648614747596892,0.4971543911180531,0.0,0.2111596612499615,0.4702022832118182,0.0,2.421970265872139e-52,0.4319738136481133,0.0,2.238505980821132e-57,0.1620976398909599,0.0,1.3889184406484716e-06
7.0,87,KL,forget05,10,gemma-2b,0.0,0.2524956019852447,0.4860879139452279,0.0,0.225214182590959,0.450764234510443,0.0001333333333333,1.0721666092263718e-23,0.4283672578390499,0.0,6.993525885803297e-59,0.1565497678176844,0.0,1.3889184406484716e-06
8.0,100,KL,forget05,10,gemma-2b,0.0,0.234047717221136,0.4998588688338454,0.0,0.216949062047438,0.467677423653943,0.0,2.37551812467922e-59,0.4170635562493283,0.0,2.655615058325471e-60,0.1609040268350811,0.0,1.9219937215692358e-06
9.0,112,KL,forget05,10,gemma-2b,0.0,0.2270790361678785,0.5098673883963176,0.0,0.2252111866414201,0.4652449407490174,0.0,3.268355856946565e-60,0.4082637794410784,0.0,1.894330163261089e-61,0.1587090584279089,0.0,4.964601673905554e-06
10.0,120,KL,forget05,10,gemma-2b,0.0,0.2361377289925919,0.4923625133761203,0.0,0.2396710819090513,0.4418229595467799,0.0,4.6697777527552796e-60,0.4137627257456145,0.0,5.025538130211222e-62,0.1630748204955839,0.0,1.23486388030636e-05
