,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,idk,john,125,forget10,10,gemma-2b,0.6393333333333333,0.4205021418914231,0.5220814710373515,0.754985754985755,0.4670679386110283,0.577133194791893,0.5041882934835293,0.6071243311003325,0.4649931307650534,0.0406073904474377,0.4160775673341252,0.5761548991575558,0.5345383158459089,0.0773785983649734
1,idk,john,250,forget10,10,gemma-2b,0.7303333333333333,0.4548700326868726,0.5772374213214827,0.8105413105413106,0.4932488765880842,0.6167477541794537,0.625208203235202,0.7451675563893495,0.5165991225277421,0.0170078118104496,0.3970190859376875,0.5478064344973802,0.5976187891702401,0.0407124776127736
2,idk,john,225,forget10,10,gemma-2b,0.7453333333333333,0.455228013551011,0.5743098181195843,0.7977207977207978,0.4916254072569302,0.6124296925663267,0.6163812186269547,0.7274988544972573,0.515328120574185,0.0137447363873715,0.4050916391971854,0.5484897518130888,0.5945483585267819,0.032433164983486
3,idk,john,75,forget10,10,gemma-2b,0.6453333333333333,0.4037908894810291,0.4953161852613648,0.7635327635327636,0.4552980919763789,0.5595407068870416,0.4400837848266102,0.549477060127101,0.4647074758993668,0.0635112067053149,0.4507540196826377,0.5723376081165619,0.5118763408781242,0.0698129674304413
4,idk,john,150,forget10,10,gemma-2b,0.7053333333333334,0.4398002458338059,0.5530887361761468,0.7421652421652423,0.4797986778200862,0.5967070476759572,0.5284665522993351,0.6370948887619473,0.4852717183597219,0.0219576389582495,0.399353479123305,0.5652136433862017,0.5579792858593511,0.0407124776127736
5,idk,john,175,forget10,10,gemma-2b,0.7436666666666666,0.4383353130804643,0.5591719937264901,0.7720797720797722,0.4805408253901556,0.5979849492475372,0.5469310546766496,0.6656412675140068,0.492372061720914,0.0085210241815071,0.4075491799731808,0.5662012705371563,0.5687362219913917,0.0407124776127736
6,idk,john,50,forget10,10,gemma-2b,0.5333333333333333,0.418896047024312,0.5169629807720437,0.7863247863247863,0.462061634607373,0.5725629114657843,0.4135007129198961,0.5991298944116807,0.4981367275598025,0.0845370623974058,0.5237852870059322,0.5194043521540277,0.5150500263328049,0.0054677384123444
7,idk,john,200,forget10,10,gemma-2b,0.7403333333333333,0.4402537986231138,0.5558016570514765,0.7934472934472935,0.4847900671384916,0.6032318897750342,0.5892173651233104,0.6980055870199527,0.49682133750496,0.0223412302067019,0.404257193292544,0.5564457469225812,0.5789722006923077,0.0507659199086664
8,idk,john,25,forget10,10,gemma-2b,0.7293333333333334,0.4679109490679085,0.5888979395511419,0.7350427350427351,0.5072981174372857,0.6345626368852578,0.6776719327811911,0.7846893377782205,0.522380990886639,0.6452893477553211,0.7862126589856974,0.4759098705113647,0.6090017012626125,0.0003088981667222
9,idk,john,100,forget10,10,gemma-2b,0.5833333333333333,0.433892030329694,0.5412506511726559,0.7421652421652423,0.4658098991022139,0.5755388982597434,0.4458601816584632,0.5719173780281892,0.4533796844561928,0.0483587600658109,0.4302862811895143,0.568326233144972,0.5203724219181494,0.036368115175335
