Method,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
idk,12,forget05,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07
idk,120,forget05,10,gemma-2b,0.6283333333333333,0.4411742214549666,0.5581920659217844,0.7737891737891738,0.4744827345603198,0.5858384993400676,0.5208431637090097,0.6431002867600137,0.4910305194544515,0.0170562476247039,0.4204211740093802,0.5584335539658746,0.5532330797677838,0.0017157267619421
idk,75,forget05,10,gemma-2b,0.5733333333333333,0.4372496636829593,0.5512287371565235,0.7905982905982906,0.4652662086122866,0.5794663735321604,0.458012515802372,0.5786064546752429,0.4852177307392408,0.0412137091937183,0.4051337875152823,0.5569533788994195,0.5307291296791848,0.0010901071445353
idk,62,forget05,10,gemma-2b,0.5433333333333333,0.4230009937259298,0.5298573136082078,0.7763532763532764,0.4493411250422904,0.5524274686802216,0.4514641586435579,0.5687963154208646,0.4807529934916617,0.0581700287381673,0.4247086760977752,0.5661409940054487,0.5152047639310718,0.0032939650934483
idk,87,forget05,10,gemma-2b,0.6183333333333333,0.4439138674287632,0.5598748154036611,0.8162393162393162,0.4680987293300904,0.584321981296216,0.4720923489338123,0.5952133299063597,0.4840371218995261,0.0126914974505761,0.4111452170174396,0.5632953276894516,0.542393217856016,0.0013701758289044
idk,50,forget05,10,gemma-2b,0.5333333333333333,0.4201441830627107,0.5182738635640789,0.7735042735042735,0.4511753526913056,0.5528251843104182,0.4106083583316712,0.5584232022233796,0.4646487650588509,0.0551718964847518,0.4259171025180891,0.5598948440463849,0.5033250618513848,0.002660191568016
KL,12,forget05,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07
KL,120,forget05,10,gemma-2b,0.0,0.2361377289925919,0.4923625133761203,0.0,0.2396710819090513,0.4418229595467799,0.0,4.6697777527552796e-60,0.4137627257456145,0.0,5.025538130211222e-62,0.1630748204955839,0.0,1.23486388030636e-05
KL,75,forget05,10,gemma-2b,0.0,0.2648614747596892,0.4971543911180531,0.0,0.2111596612499615,0.4702022832118182,0.0,2.421970265872139e-52,0.4319738136481133,0.0,2.238505980821132e-57,0.1620976398909599,0.0,1.3889184406484716e-06
KL,62,forget05,10,gemma-2b,0.0,0.2646103350872685,0.5043672768513493,0.0,0.2039090185390541,0.4970604877519605,0.0082291935189584,5.485281370608901e-54,0.4278606425255782,0.0020611656861656,1.8622969435945687e-55,0.1660244227390127,0.0,9.993842600871629e-07
KL,87,forget05,10,gemma-2b,0.0,0.2524956019852447,0.4860879139452279,0.0,0.225214182590959,0.450764234510443,0.0001333333333333,1.0721666092263718e-23,0.4283672578390499,0.0,6.993525885803297e-59,0.1565497678176844,0.0,1.3889184406484716e-06
KL,50,forget05,10,gemma-2b,0.0,0.2675731492800901,0.5123064123399367,0.0,0.2171352048189751,0.4815197940681762,0.0,5.835779783271728e-50,0.4253590541298964,0.0,3.830756418244465e-52,0.1729717119991955,0.0,7.159896017463865e-07
dpo,720,forget05,10,gemma-2b,0.7293333333333334,0.4569328145600984,0.5757769990055597,0.7250712250712251,0.5038066104686796,0.6371240220017754,0.6912098880476032,0.8095111068194198,0.5511635217353295,0.7276193092595917,0.8293540489951439,0.4301378456826241,0.6111466437830433,3.6270939278107467e-07
dpo,900,forget05,10,gemma-2b,0.7093333333333334,0.4567563694182286,0.572704817725683,0.7250712250712251,0.5041825510283772,0.6377862488605266,0.6898587979474244,0.8096983543203609,0.5510064533199179,0.7247029782105229,0.829208256146153,0.4303385639098455,0.6091290956254898,2.564543314097582e-07
dpo,450,forget05,10,gemma-2b,0.7093333333333334,0.4563930138594264,0.5724654362136389,0.7293447293447294,0.5036698723235862,0.6378814294459619,0.6933678130902959,0.8097661070096329,0.5511175266616862,0.7159092934712732,0.8294396262246733,0.4306539642527344,0.6096088596565484,2.564543314097582e-07
dpo,540,forget05,10,gemma-2b,0.7193333333333334,0.4567158462193567,0.5735920453050247,0.7293447293447294,0.5049562481995917,0.6371719676818681,0.691837729126748,0.8098960992233619,0.5508545603109076,0.72083370454955,0.8291956792476405,0.4301312082187219,0.6106028261821439,2.564543314097582e-07
dpo,810,forget05,10,gemma-2b,0.7093333333333334,0.458060156229901,0.5741530113819601,0.7293447293447294,0.5052160027848697,0.636826051909282,0.6921815809015687,0.8096317210802344,0.5508688944769047,0.7141898260215183,0.8292496934538494,0.4300630376713256,0.6101499038766423,2.564543314097582e-07
